=== TBS ===
Tatal ap jobs: 127
For TA12, New deadline: 286 + 25 = 311
clock 182: T4, server deadline:311
clock 183: T4, server deadline:311
clock 184: T4, server deadline:311
clock 185: T4, server deadline:311
clock 186: T4, server deadline:311
clock 187: T4, server deadline:311
clock 188: T4, server deadline:311
clock 189: T4, server deadline:311
clock 190: T4, server deadline:311
clock 191: T4, server deadline:311
clock 192: T6, server deadline:311
clock 193: T6, server deadline:311
clock 194: T6, server deadline:311
clock 195: T3, server deadline:311
clock 196: T6, server deadline:311
clock 197: T7, server deadline:311
clock 198: T7, server deadline:311
clock 199: T7, server deadline:311
clock 200: T7, server deadline:311
clock 201: T4, server deadline:311
clock 202: T4, server deadline:311
clock 203: T4, server deadline:311
clock 204: T4, server deadline:311
clock 205: T4, server deadline:311
clock 206: T4, server deadline:311
clock 207: T4, server deadline:311
clock 208: T4, server deadline:311
clock 209: T4, server deadline:311
clock 210: T3, server deadline:311
clock 211: T4, server deadline:311
clock 212: T4, server deadline:311
clock 213: T4, server deadline:311
clock 214: T5, server deadline:311
clock 215: T5, server deadline:311
clock 216: T5, server deadline:311
clock 217: T5, server deadline:311
clock 218: T5, server deadline:311
clock 219: T1, server deadline:311
clock 220: T1, server deadline:311
clock 221: T1, server deadline:311
clock 222: T2, server deadline:311
clock 223: T2, server deadline:311
clock 224: T2, server deadline:311
clock 225: T3, server deadline:311
clock 226: T2, server deadline:311
clock 227: T2, server deadline:311
clock 228: T2, server deadline:311
clock 229: T2, server deadline:311
clock 230: T1, server deadline:311
clock 231: T1, server deadline:311
clock 232: T1, server deadline:311
clock 233: T1, server deadline:311
clock 234: T1, server deadline:311
clock 235: T1, server deadline:311
clock 236: T1, server deadline:311
clock 237: T1, server deadline:311
clock 238: T1, server deadline:311
clock 239: T1, server deadline:311
clock 240: T3, server deadline:311
clock 241: T6, server deadline:311
clock 242: T6, server deadline:311
clock 243: T6, server deadline:311
clock 244: T6, server deadline:311
clock 245: T1, server deadline:311
clock 246: T1, server deadline:311
clock 247: T1, server deadline:311
clock 248: T1, server deadline:311
clock 249: T1, server deadline:311
clock 250: T1, server deadline:311
clock 251: T1, server deadline:311
clock 252: T1, server deadline:311
clock 253: T1, server deadline:311
clock 254: T1, server deadline:311
clock 255: T3, server deadline:311
clock 256: T1, server deadline:311
clock 257: T1, server deadline:311
clock 258: T1, server deadline:311
clock 259: T1, server deadline:311
clock 260: T1, server deadline:311
clock 261: T1, server deadline:311
clock 262: T1, server deadline:311
clock 263: TA12, server deadline:311
clock 264: TA12, server deadline:311
clock 265: TA12, server deadline:311
clock 266: TA12, server deadline:311
clock 267: TA12, server deadline:311
TA12 finishs: 122 ~ 268
Current total_response_time: 404
For TA13, New deadline: 311 + 10 = 321
clock 268: TA13, server deadline:321
clock 269: TA13, server deadline:321
TA13 finishs: 127 ~ 270
Current total_response_time: 547
For TA14, New deadline: 321 + 35 = 356
clock 270: T3, server deadline:356
clock 271: TA14, server deadline:356
clock 272: TA14, server deadline:356
clock 273: TA14, server deadline:356
clock 274: TA14, server deadline:356
clock 275: TA14, server deadline:356
clock 276: TA14, server deadline:356
clock 277: TA14, server deadline:356
TA14 finishs: 140 ~ 278
Current total_response_time: 685
For TA15, New deadline: 356 + 15 = 371
clock 278: T9, server deadline:371
clock 279: T9, server deadline:371
clock 280: T9, server deadline:371
clock 281: T9, server deadline:371
clock 282: T9, server deadline:371
clock 283: T9, server deadline:371
clock 284: T9, server deadline:371
clock 285: T3, server deadline:371
clock 286: T9, server deadline:371
clock 287: T9, server deadline:371
clock 288: T6, server deadline:371
clock 289: T6, server deadline:371
clock 290: T6, server deadline:371
clock 291: T6, server deadline:371
clock 292: T9, server deadline:371
clock 293: TA15, server deadline:371
clock 294: TA15, server deadline:371
clock 295: TA15, server deadline:371
TA15 finishs: 147 ~ 296
Current total_response_time: 834
